Temp	Dilation
922.71	0.05145
923.69	0.05139
924.66	0.05132
925.64	0.05126
926.68	0.05121
927.69	0.05118
928.74	0.05115
929.65	0.05109
930.68	0.05107
931.67	0.05104
932.73	0.05103
933.59	0.05101
934.74	0.051
935.64	0.05098
936.73	0.05098
937.64	0.05096
938.7	0.05097
939.67	0.05097
940.77	0.05096
941.63	0.05097
942.69	0.05097
943.61	0.05096
944.68	0.05097
945.62	0.05098
946.7	0.05099
947.62	0.05101
948.69	0.05102
949.65	0.05104
950.7	0.05105
951.68	0.05106
952.67	0.05107
953.68	0.05108
954.67	0.0511
955.69	0.0511
956.65	0.05111
957.67	0.05113
958.7	0.05115
959.68	0.05119
960.72	0.05121
961.65	0.05124
962.67	0.05128
963.66	0.05132
964.63	0.05135
965.71	0.05139
966.71	0.05143
967.63	0.05147
968.73	0.05153
969.63	0.05156
970.7	0.05161
971.71	0.05166
972.65	0.05169
973.72	0.05174
974.65	0.05179
975.72	0.05184
976.64	0.0519
977.7	0.05197
978.66	0.05202
979.65	0.05208
980.68	0.05213
981.68	0.05218
982.69	0.05224
983.69	0.05229
984.71	0.05234
985.66	0.05239
986.71	0.05245
987.62	0.0525
988.71	0.05258
989.65	0.05262
990.71	0.0527
991.69	0.05276
992.69	0.05282
993.71	0.05288
994.66	0.05294
995.65	0.05301
996.65	0.05308
997.66	0.05314
998.65	0.0532
999.66	0.05328
1000.6	0.05336
1001.7	0.05344
1002.7	0.05351
1003.7	0.05357
1004.7	0.05365
1005.7	0.05373
1006.7	0.05382
1007.8	0.05391
1008.6	0.05398
1009.7	0.05408
1010.6	0.05414
1011.7	0.05423
1012.7	0.05433
1013.7	0.0544
1014.7	0.05448
1015.7	0.05458
1016.6	0.05467
1017.7	0.05478
1018.7	0.05491
1019.7	0.055
1020.7	0.05511
1021.7	0.05519
1022.7	0.05529
1023.7	0.05539
1024.6	0.05549
1025.7	0.05558
1026.7	0.05568
1027.6	0.05577
1028.7	0.05588
1029.6	0.05598
1030.7	0.05608
1031.7	0.05617
1032.7	0.05627
1033.7	0.05636
1034.7	0.05649
1035.7	0.0566
1036.7	0.0567
1037.7	0.05678
1038.7	0.05688
1039.6	0.05697
1040.7	0.05712
1041.7	0.05722
1042.7	0.05732
1043.7	0.05742
1044.6	0.05751
1045.7	0.05762
1046.6	0.05771
1047.7	0.05785
1048.7	0.05795
1048.9	0.05796
1050	0.05799
1050	0.05786
1050	0.05769
1050	0.05752
1050	0.0574
1050	0.05727
1050	0.05718
1050	0.05705
1050	0.05694
1050	0.05685
1050	0.05676
1050	0.05668
1050	0.05661
1050	0.05654
1050	0.05646
1050	0.05639
1050	0.05631
1050	0.05626
1050	0.05622
1050	0.05616
1050	0.0561
1050	0.05605
1050	0.05602
1050	0.05598
1050	0.05593
1050	0.05589
1050	0.05584
1050	0.05581
1050	0.05579
1050	0.05575
1050	0.05571
1050	0.05568
1050	0.05565
1050	0.0556
1050	0.05557
1050	0.05554
1050	0.05552
1050	0.05549
1050	0.05547
1050	0.05544
1050	0.05541
1050	0.0554
1050	0.05538
1050	0.05536
1050	0.05534
1050	0.05532
1050	0.05532
1050	0.05528
1050	0.05528
1050	0.05526
1050	0.05522
1050	0.05519
1050	0.05517
1050	0.05517
1050	0.05515
1050	0.05512
1050	0.05509
1050	0.05508
1050	0.05505
1050	0.05502
1049.7	0.055
1048.6	0.05482
1047.5	0.05466
1046.5	0.05452
1045.5	0.05439
1044.5	0.05423
1043.5	0.05408
1042.5	0.05393
1041.4	0.05376
1040.5	0.05362
1039.6	0.05349
1038.4	0.05333
1037.6	0.05319
1036.6	0.05306
1035.5	0.05293
1034.6	0.05278
1033.4	0.05261
1032.4	0.05248
1031.6	0.05234
1030.3	0.05221
1029.5	0.05206
1028.5	0.05189
1027.4	0.05176
1026.4	0.0516
1025.4	0.05147
1024.5	0.05133
1023.5	0.05119
1022.5	0.05108
1021.5	0.05095
1020.5	0.05084
1019.6	0.05066
1018.5	0.05053
1017.4	0.05039
1016.4	0.05022
1015.4	0.0501
1014.4	0.04995
1013.5	0.04984
1012.5	0.04965
1011.4	0.04952
1010.5	0.04939
1009.5	0.04923
1008.5	0.04908
1007.6	0.04895
1006.4	0.04877
1005.5	0.04865
1004.4	0.04847
1003.4	0.04832
1002.4	0.04816
1001.3	0.04803
1000.4	0.0479
999.44	0.04773
998.39	0.0476
997.42	0.04747
996.27	0.04732
995.34	0.04718
994.29	0.04701
993.49	0.0469
992.48	0.04676
991.49	0.04661
990.48	0.04647
989.44	0.04631
988.51	0.0462
987.29	0.04604
986.44	0.04589
985.41	0.04573
984.32	0.04558
983.56	0.04546
982.41	0.04529
